layer,laser_on,x1,y1,z1,x2,y2,z2,feedrate
1.0,True,2.4793,25.9252,0.025,3.4407,25.9252,0.025,600.0
1.0,True,3.4407,25.9252,0.025,4.3515,25.9252,0.025,600.0
1.0,True,4.3515,25.9252,0.025,5.2623,25.9252,0.025,600.0
1.0,True,5.2623,25.9252,0.025,6.1731,25.9252,0.025,600.0
1.0,True,6.1731,25.9252,0.025,7.0838,25.9252,0.025,600.0
1.0,True,7.0838,25.9252,0.025,7.9946,25.9252,0.025,600.0
1.0,True,7.9946,25.9252,0.025,8.9054,25.9252,0.025,600.0
1.0,True,8.9054,25.9252,0.025,9.8162,25.9252,0.025,600.0
1.0,True,9.8162,25.9252,0.025,10.727,25.9252,0.025,600.0
1.0,True,10.727,25.9252,0.025,11.6883,25.9252,0.025,600.0
1.0,True,11.6883,25.9252,0.025,12.6497,25.9252,0.025,600.0
1.0,True,12.6497,25.9252,0.025,13.6111,25.9252,0.025,600.0
1.0,True,13.6111,25.9252,0.025,14.5725,25.9252,0.025,600.0
1.0,True,14.5725,25.9252,0.025,15.5339,25.9252,0.025,600.0
1.0,True,15.5339,25.9252,0.025,16.4952,25.9252,0.025,600.0
1.0,True,16.4952,25.9252,0.025,17.4566,25.9252,0.025,600.0
1.0,True,17.4566,25.9252,0.025,18.418,25.9252,0.025,600.0
1.0,True,18.418,25.9252,0.025,19.3794,25.9252,0.025,600.0
1.0,True,19.3794,25.9252,0.025,20.3408,25.9252,0.025,600.0
1.0,True,20.3408,25.9252,0.025,21.3021,25.9252,0.025,600.0
1.0,True,21.3021,25.9252,0.025,22.2635,25.9252,0.025,600.0
1.0,True,22.2635,25.9252,0.025,23.2249,25.9252,0.025,600.0
1.0,True,23.2249,25.9252,0.025,24.1863,25.9252,0.025,600.0
1.0,True,24.1863,25.9252,0.025,24.8188,25.9239,0.025,600.0
1.0,True,24.8188,25.9239,0.025,25.4513,25.9227,0.025,600.0
1.0,True,25.4513,25.9227,0.025,25.5704,25.8968,0.025,600.0
1.0,True,25.5704,25.8968,0.025,25.6536,25.8598,0.025,600.0
1.0,True,25.6536,25.8598,0.025,25.7339,25.8054,0.025,600.0
1.0,True,25.7339,25.8054,0.025,25.828,25.7042,0.025,600.0
1.0,True,25.828,25.7042,0.025,25.8845,25.603,0.025,600.0
1.0,True,25.8845,25.603,0.025,25.9066,25.5378,0.025,600.0
1.0,True,25.9066,25.5378,0.025,25.9252,25.4007,0.025,600.0
1.0,True,25.9252,25.4007,0.025,25.9252,24.5911,0.025,600.0
1.0,True,25.9252,24.5911,0.025,25.9252,23.7815,0.025,600.0
1.0,True,25.9252,23.7815,0.025,25.9252,22.9719,0.025,600.0
1.0,True,25.9252,22.9719,0.025,25.9252,22.1623,0.025,600.0
1.0,True,25.9252,22.1623,0.025,25.9252,21.2009,0.025,600.0
1.0,True,25.9252,21.2009,0.025,25.9252,20.2396,0.025,600.0
1.0,True,25.9252,20.2396,0.025,25.9252,19.2782,0.025,600.0
1.0,True,25.9252,19.2782,0.025,25.9252,18.3168,0.025,600.0
1.0,True,25.9252,18.3168,0.025,25.9252,17.3807,0.025,600.0
1.0,True,25.9252,17.3807,0.025,25.9252,16.4446,0.025,600.0
1.0,True,25.9252,16.4446,0.025,25.9252,15.5086,0.025,600.0
1.0,True,25.9252,15.5086,0.025,25.9252,14.5725,0.025,600.0
1.0,True,25.9252,14.5725,0.025,25.9252,13.8135,0.025,600.0
1.0,True,25.9252,13.8135,0.025,25.9252,13.0545,0.025,600.0
1.0,True,25.9252,13.0545,0.025,25.9252,12.2955,0.025,600.0
1.0,True,25.9252,12.2955,0.025,25.9252,11.5366,0.025,600.0
1.0,True,25.9252,11.5366,0.025,25.9252,10.7776,0.025,600.0
1.0,True,25.9252,10.7776,0.025,25.9252,10.0186,0.025,600.0
1.0,True,25.9252,10.0186,0.025,25.9252,9.0572,0.025,600.0
1.0,True,25.9252,9.0572,0.025,25.9252,8.0958,0.025,600.0
1.0,True,25.9252,8.0958,0.025,25.9252,7.1344,0.025,600.0
1.0,True,25.9252,7.1344,0.025,25.9252,6.1731,0.025,600.0
1.0,True,25.9252,6.1731,0.025,25.9252,5.3888,0.025,600.0
1.0,True,25.9252,5.3888,0.025,25.9252,4.6045,0.025,600.0
1.0,True,25.9252,4.6045,0.025,25.9252,3.8202,0.025,600.0
1.0,True,25.9252,3.8202,0.025,25.9252,3.0359,0.025,600.0
1.0,True,25.9252,3.0359,0.025,25.9252,2.2601,0.025,600.0
1.0,True,25.9252,2.2601,0.025,25.9252,1.4842,0.025,600.0
1.0,True,25.9252,1.4842,0.025,25.9252,0.7084,0.025,600.0
1.0,True,25.9252,0.7084,0.025,25.9252,-0.253,0.025,600.0
1.0,True,25.9252,-0.253,0.025,25.9252,-1.2144,0.025,600.0
1.0,True,25.9252,-1.2144,0.025,25.9252,-2.1758,0.025,600.0
1.0,True,25.9252,-2.1758,0.025,25.9252,-3.1371,0.025,600.0
1.0,True,25.9252,-3.1371,0.025,25.9252,-4.0985,0.025,600.0
1.0,True,25.9252,-4.0985,0.025,25.9252,-5.0599,0.025,600.0
1.0,True,25.9252,-5.0599,0.025,25.9252,-6.0213,0.025,600.0
1.0,True,25.9252,-6.0213,0.025,25.9252,-6.9826,0.025,600.0
