line_number,raw_line,layer,laser_on,feedrate,tool,X,Y,Z,B,C,dx,dy,dz,step_distance,deposition_move,laser_power_watts,estimated_linear_energy
2372,X-12.9626,1.0,True,600.0,,-12.9626,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2373,X-13.9597,1.0,True,600.0,,-13.9597,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2374,X-14.9569,1.0,True,600.0,,-14.9569,-0.3457,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2375,X-15.954,1.0,True,600.0,,-15.954,-0.3457,0.025,0.0,0.0,-0.9971000000000014,0.0,0.0,0.9971000000000014,True,500.0,0.8333333333333334
2376,X-16.9511,1.0,True,600.0,,-16.9511,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2377,X-17.9482,1.0,True,600.0,,-17.9482,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2378,X-18.9454,1.0,True,600.0,,-18.9454,-0.3457,0.025,0.0,0.0,-0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2379,X-19.9425,1.0,True,600.0,,-19.9425,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2380,X-20.9396,1.0,True,600.0,,-20.9396,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2381,X-21.9367,1.0,True,600.0,,-21.9367,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2382,X-22.9339,1.0,True,600.0,,-22.9339,-0.3457,0.025,0.0,0.0,-0.997200000000003,0.0,0.0,0.997200000000003,True,500.0,0.8333333333333334
2383,X-23.931,1.0,True,600.0,,-23.931,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2384,X-24.9281,1.0,True,600.0,,-24.9281,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2385,X-25.9252,1.0,True,600.0,,-25.9252,-0.3457,0.025,0.0,0.0,-0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2386,Y0.3457,1.0,True,600.0,,-25.9252,0.3457,0.025,0.0,0.0,0.0,0.6914,0.0,0.6914,True,500.0,0.8333333333333334
2387,X-24.9281,1.0,True,600.0,,-24.9281,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2388,X-23.931,1.0,True,600.0,,-23.931,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2389,X-22.9339,1.0,True,600.0,,-22.9339,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2390,X-21.9367,1.0,True,600.0,,-21.9367,0.3457,0.025,0.0,0.0,0.997200000000003,0.0,0.0,0.997200000000003,True,500.0,0.8333333333333334
2391,X-20.9396,1.0,True,600.0,,-20.9396,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2392,X-19.9425,1.0,True,600.0,,-19.9425,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2393,X-18.9454,1.0,True,600.0,,-18.9454,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2394,X-17.9482,1.0,True,600.0,,-17.9482,0.3457,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2395,X-16.9511,1.0,True,600.0,,-16.9511,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2396,X-15.954,1.0,True,600.0,,-15.954,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2397,X-14.9569,1.0,True,600.0,,-14.9569,0.3457,0.025,0.0,0.0,0.9971000000000014,0.0,0.0,0.9971000000000014,True,500.0,0.8333333333333334
2398,X-13.9597,1.0,True,600.0,,-13.9597,0.3457,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
2399,X-12.9626,1.0,True,600.0,,-12.9626,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2400,X-11.9655,1.0,True,600.0,,-11.9655,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2401,X-10.9684,1.0,True,600.0,,-10.9684,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2402,X-9.9712,1.0,True,600.0,,-9.9712,0.3457,0.025,0.0,0.0,0.9972000000000012,0.0,0.0,0.9972000000000012,True,500.0,0.8333333333333334
2403,X-8.9741,1.0,True,600.0,,-8.9741,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2404,X-7.977,1.0,True,600.0,,-7.977,0.3457,0.025,0.0,0.0,0.9970999999999997,0.0,0.0,0.9970999999999997,True,500.0,0.8333333333333334
2405,X-6.9799,1.0,True,600.0,,-6.9799,0.3457,0.025,0.0,0.0,0.9971000000000005,0.0,0.0,0.9971000000000005,True,500.0,0.8333333333333334
2406,X-5.9827,1.0,True,600.0,,-5.9827,0.3457,0.025,0.0,0.0,0.9971999999999994,0.0,0.0,0.9971999999999994,True,500.0,0.8333333333333334
