Change Timestamp,Variable,New Value
2026-03-20T19:12:46Z,xpostn,191.3903
2026-03-20T19:12:46Z,ypostn,133.5109
2026-03-20T19:12:46Z,zpostn,286.3817
2026-03-20T19:12:46Z,xlod,17
2026-03-20T19:12:46Z,ylod,23
2026-03-20T19:12:46Z,zlod,54
2026-03-20T19:12:46Z,fact,56.08109
2026-03-20T19:12:46Z,toolnum,6
2026-03-20T19:12:46Z,program,CDSDRYRUN
2026-03-20T19:12:47Z,xpostn,178.39005
2026-03-20T19:12:47Z,ypostn,107.9251
2026-03-20T19:12:47Z,zpostn,286.3817
2026-03-20T19:12:47Z,xlod,14
2026-03-20T19:12:47Z,ylod,23
2026-03-20T19:12:47Z,zlod,54
2026-03-20T19:12:47Z,fact,56.08109
2026-03-20T19:12:47Z,toolnum,6
2026-03-20T19:12:47Z,program,CDSDRYRUN
2026-03-20T19:12:48Z,xpostn,150.2229
2026-03-20T19:12:48Z,ypostn,52.48925
2026-03-20T19:12:48Z,zpostn,286.3817
2026-03-20T19:12:48Z,xlod,14
2026-03-20T19:12:48Z,ylod,23
2026-03-20T19:12:48Z,zlod,51
2026-03-20T19:12:48Z,fact,56.08109
2026-03-20T19:12:48Z,toolnum,6
2026-03-20T19:12:48Z,program,CDSDRYRUN
2026-03-20T19:12:49Z,xpostn,121.33355
2026-03-20T19:12:49Z,ypostn,-4.36805
2026-03-20T19:12:49Z,zpostn,286.3817
2026-03-20T19:12:49Z,xlod,14
2026-03-20T19:12:49Z,ylod,23
2026-03-20T19:12:49Z,zlod,59
2026-03-20T19:12:49Z,fact,56.08109
2026-03-20T19:12:49Z,toolnum,6
2026-03-20T19:12:49Z,program,CDSDRYRUN
2026-03-20T19:12:50Z,xpostn,90.73005
2026-03-20T19:12:50Z,ypostn,-64.5989
2026-03-20T19:12:50Z,zpostn,286.3795
2026-03-20T19:12:50Z,xlod,23
2026-03-20T19:12:50Z,ylod,30
2026-03-20T19:12:50Z,zlod,62
2026-03-20T19:12:50Z,fact,56.08109
2026-03-20T19:12:50Z,toolnum,6
2026-03-20T19:12:50Z,program,CDSDRYRUN
2026-03-20T19:12:51Z,xpostn,90.73
2026-03-20T19:12:51Z,ypostn,-64.599
2026-03-20T19:12:51Z,zpostn,238.36705
2026-03-20T19:12:51Z,xlod,1
2026-03-20T19:12:51Z,ylod,3
2026-03-20T19:12:51Z,zlod,34
2026-03-20T19:12:51Z,fact,49.998
2026-03-20T19:12:51Z,toolnum,6
2026-03-20T19:12:51Z,program,CDSDRYRUN
2026-03-20T19:12:52Z,xpostn,90.73
2026-03-20T19:12:52Z,ypostn,-64.599
2026-03-20T19:12:52Z,zpostn,207.08795
2026-03-20T19:12:52Z,xlod,1
2026-03-20T19:12:52Z,ylod,3
2026-03-20T19:12:52Z,zlod,37
2026-03-20T19:12:52Z,fact,49.998
2026-03-20T19:12:52Z,toolnum,6
2026-03-20T19:12:52Z,program,CDSDRYRUN
2026-03-20T19:12:53Z,xpostn,90.73
2026-03-20T19:12:53Z,ypostn,-64.599
2026-03-20T19:12:53Z,zpostn,150.21685
2026-03-20T19:12:53Z,xlod,1
2026-03-20T19:12:53Z,ylod,3
2026-03-20T19:12:53Z,zlod,34
2026-03-20T19:12:53Z,fact,49.998
2026-03-20T19:12:53Z,toolnum,6
2026-03-20T19:12:53Z,program,CDSDRYRUN
2026-03-20T19:12:54Z,xpostn,90.73
2026-03-20T19:12:54Z,ypostn,-64.599
2026-03-20T19:12:54Z,zpostn,94.76755
2026-03-20T19:12:54Z,xlod,4
2026-03-20T19:12:54Z,ylod,3
2026-03-20T19:12:54Z,zlod,37
2026-03-20T19:12:54Z,fact,49.998
2026-03-20T19:12:54Z,toolnum,6
2026-03-20T19:12:54Z,program,CDSDRYRUN
2026-03-20T19:12:55Z,xpostn,90.73
2026-03-20T19:12:55Z,ypostn,-64.599
2026-03-20T19:12:55Z,zpostn,39.31825
2026-03-20T19:12:55Z,xlod,4
2026-03-20T19:12:55Z,ylod,0
2026-03-20T19:12:55Z,zlod,37
2026-03-20T19:12:55Z,fact,49.998
2026-03-20T19:12:55Z,toolnum,6
2026-03-20T19:12:55Z,program,CDSDRYRUN
2026-03-20T19:12:56Z,xpostn,90.70015
2026-03-20T19:12:56Z,ypostn,-64.599
2026-03-20T19:12:56Z,zpostn,6.46045
2026-03-20T19:12:56Z,xlod,12
2026-03-20T19:12:56Z,ylod,3
2026-03-20T19:12:56Z,zlod,41
2026-03-20T19:12:56Z,fact,44.431556
2026-03-20T19:12:56Z,toolnum,6
2026-03-20T19:12:56Z,program,CDSDRYRUN
2026-03-20T19:12:57Z,xpostn,89.95555
2026-03-20T19:12:57Z,ypostn,-64.599
2026-03-20T19:12:57Z,zpostn,3.7758
2026-03-20T19:12:57Z,xlod,12
2026-03-20T19:12:57Z,ylod,3
2026-03-20T19:12:57Z,zlod,41
2026-03-20T19:12:57Z,fact,2.816554
2026-03-20T19:12:57Z,toolnum,6
2026-03-20T19:12:57Z,program,CDSDRYRUN
2026-03-20T19:12:58Z,xpostn,87.9953
2026-03-20T19:12:58Z,ypostn,-64.599
2026-03-20T19:12:58Z,zpostn,1.27375
2026-03-20T19:12:58Z,xlod,12
2026-03-20T19:12:58Z,ylod,3
2026-03-20T19:12:58Z,zlod,41
2026-03-20T19:12:58Z,fact,2.816554
2026-03-20T19:12:58Z,toolnum,6
2026-03-20T19:12:58Z,program,CDSDRYRUN
2026-03-20T19:12:59Z,xpostn,86.8091
2026-03-20T19:12:59Z,ypostn,-64.599
2026-03-20T19:12:59Z,zpostn,0.45955
2026-03-20T19:12:59Z,xlod,12
2026-03-20T19:12:59Z,ylod,3
2026-03-20T19:12:59Z,zlod,41
2026-03-20T19:12:59Z,fact,2.816554
2026-03-20T19:12:59Z,toolnum,6
2026-03-20T19:12:59Z,program,CDSDRYRUN
2026-03-20T19:13:00Z,xpostn,83.8493
2026-03-20T19:13:00Z,ypostn,-64.599
2026-03-20T19:13:00Z,zpostn,-0.46275
2026-03-20T19:13:00Z,xlod,12
2026-03-20T19:13:00Z,ylod,3
2026-03-20T19:13:00Z,zlod,41
2026-03-20T19:13:00Z,fact,2.816554
2026-03-20T19:13:00Z,toolnum,6
2026-03-20T19:13:00Z,program,CDSDRYRUN
2026-03-20T19:13:01Z,xpostn,80.4759
2026-03-20T19:13:01Z,ypostn,-64.599
2026-03-20T19:13:01Z,zpostn,-0.5
2026-03-20T19:13:01Z,xlod,12
2026-03-20T19:13:01Z,ylod,3
2026-03-20T19:13:01Z,zlod,47
2026-03-20T19:13:01Z,fact,3.74985
2026-03-20T19:13:01Z,toolnum,6
2026-03-20T19:13:01Z,program,CDSDRYRUN
2026-03-20T19:13:02Z,xpostn,76.05905
2026-03-20T19:13:02Z,ypostn,-64.599
2026-03-20T19:13:02Z,zpostn,-0.5
2026-03-20T19:13:02Z,xlod,12
2026-03-20T19:13:02Z,ylod,3
2026-03-20T19:13:02Z,zlod,47
2026-03-20T19:13:02Z,fact,4.683146
2026-03-20T19:13:02Z,toolnum,6
2026-03-20T19:13:02Z,program,CDSDRYRUN
2026-03-20T19:13:03Z,xpostn,69.94955
2026-03-20T19:13:03Z,ypostn,-64.599
2026-03-20T19:13:03Z,zpostn,-0.5
2026-03-20T19:13:03Z,xlod,12
2026-03-20T19:13:03Z,ylod,3
2026-03-20T19:13:03Z,zlod,47
2026-03-20T19:13:03Z,fact,5.633108
2026-03-20T19:13:03Z,toolnum,6
2026-03-20T19:13:03Z,program,CDSDRYRUN
2026-03-20T19:13:04Z,xpostn,62.65875
2026-03-20T19:13:04Z,ypostn,-64.599
2026-03-20T19:13:04Z,zpostn,-0.5
2026-03-20T19:13:04Z,xlod,12
2026-03-20T19:13:04Z,ylod,3
2026-03-20T19:13:04Z,zlod,47
2026-03-20T19:13:04Z,fact,6.566404
2026-03-20T19:13:04Z,toolnum,6
2026-03-20T19:13:04Z,program,CDSDRYRUN
2026-03-20T19:13:05Z,xpostn,54.14005
2026-03-20T19:13:05Z,ypostn,-64.599
2026-03-20T19:13:05Z,zpostn,-0.5
2026-03-20T19:13:05Z,xlod,12
2026-03-20T19:13:05Z,ylod,3
2026-03-20T19:13:05Z,zlod,47
2026-03-20T19:13:05Z,fact,8.449662
2026-03-20T19:13:05Z,toolnum,6
2026-03-20T19:13:05Z,program,CDSDRYRUN
2026-03-20T19:13:06Z,xpostn,43.50075
2026-03-20T19:13:06Z,ypostn,-64.599
2026-03-20T19:13:06Z,zpostn,-0.5
2026-03-20T19:13:06Z,xlod,12
2026-03-20T19:13:06Z,ylod,3
2026-03-20T19:13:06Z,zlod,47
2026-03-20T19:13:06Z,fact,9.382958
2026-03-20T19:13:06Z,toolnum,6
2026-03-20T19:13:06Z,program,CDSDRYRUN
2026-03-20T19:13:07Z,xpostn,38.5706
2026-03-20T19:13:07Z,ypostn,-64.599
2026-03-20T19:13:07Z,zpostn,-0.5
2026-03-20T19:13:07Z,xlod,12
2026-03-20T19:13:07Z,ylod,3
2026-03-20T19:13:07Z,zlod,47
2026-03-20T19:13:07Z,fact,10.316254
2026-03-20T19:13:07Z,toolnum,6
2026-03-20T19:13:07Z,program,CDSDRYRUN
2026-03-20T19:13:08Z,xpostn,25.64615
2026-03-20T19:13:08Z,ypostn,-64.599
2026-03-20T19:13:08Z,zpostn,-0.5
2026-03-20T19:13:08Z,xlod,12
2026-03-20T19:13:08Z,ylod,3
2026-03-20T19:13:08Z,zlod,47
2026-03-20T19:13:08Z,fact,10.316254
2026-03-20T19:13:08Z,toolnum,6
2026-03-20T19:13:08Z,program,CDSDRYRUN
2026-03-20T19:13:09Z,xpostn,15.36535
2026-03-20T19:13:09Z,ypostn,-64.599
2026-03-20T19:13:09Z,zpostn,-0.5
2026-03-20T19:13:09Z,xlod,12
2026-03-20T19:13:09Z,ylod,3
2026-03-20T19:13:09Z,zlod,47
2026-03-20T19:13:09Z,fact,10.316254
2026-03-20T19:13:09Z,toolnum,6
2026-03-20T19:13:09Z,program,CDSDRYRUN
2026-03-20T19:13:10Z,xpostn,3.61585
2026-03-20T19:13:10Z,ypostn,-64.599
2026-03-20T19:13:10Z,zpostn,-0.5
2026-03-20T19:13:10Z,xlod,12
2026-03-20T19:13:10Z,ylod,3
2026-03-20T19:13:10Z,zlod,47
2026-03-20T19:13:10Z,fact,10.316254
2026-03-20T19:13:10Z,toolnum,6
2026-03-20T19:13:10Z,program,CDSDRYRUN
2026-03-20T19:13:11Z,xpostn,-2.84635
2026-03-20T19:13:11Z,ypostn,-64.599
2026-03-20T19:13:11Z,zpostn,-0.5
2026-03-20T19:13:11Z,xlod,12
2026-03-20T19:13:11Z,ylod,3
2026-03-20T19:13:11Z,zlod,47
2026-03-20T19:13:11Z,fact,10.316254
2026-03-20T19:13:11Z,toolnum,6
2026-03-20T19:13:11Z,program,CDSDRYRUN
2026-03-20T19:13:12Z,xpostn,-14.3021
2026-03-20T19:13:12Z,ypostn,-64.599
2026-03-20T19:13:12Z,zpostn,-0.5
2026-03-20T19:13:12Z,xlod,12
2026-03-20T19:13:12Z,ylod,3
2026-03-20T19:13:12Z,zlod,47
2026-03-20T19:13:12Z,fact,10.316254
2026-03-20T19:13:12Z,toolnum,6
2026-03-20T19:13:12Z,program,CDSDRYRUN
2026-03-20T19:13:13Z,xpostn,-26.05155
2026-03-20T19:13:13Z,ypostn,-64.599
2026-03-20T19:13:13Z,zpostn,-0.5
2026-03-20T19:13:13Z,xlod,12
2026-03-20T19:13:13Z,ylod,3
2026-03-20T19:13:13Z,zlod,47
2026-03-20T19:13:13Z,fact,10.316254
2026-03-20T19:13:13Z,toolnum,6
2026-03-20T19:13:13Z,program,CDSDRYRUN
2026-03-20T19:13:14Z,xpostn,-38.151
2026-03-20T19:13:14Z,ypostn,-64.599
2026-03-20T19:13:14Z,zpostn,-0.5
2026-03-20T19:13:14Z,xlod,12
2026-03-20T19:13:14Z,ylod,3
2026-03-20T19:13:14Z,zlod,47
2026-03-20T19:13:14Z,fact,9.382958
2026-03-20T19:13:14Z,toolnum,6
2026-03-20T19:13:14Z,program,CDSDRYRUN
2026-03-20T19:13:15Z,xpostn,-43.7584
2026-03-20T19:13:15Z,ypostn,-64.599
2026-03-20T19:13:15Z,zpostn,-0.5
2026-03-20T19:13:15Z,xlod,12
2026-03-20T19:13:15Z,ylod,3
2026-03-20T19:13:15Z,zlod,47
2026-03-20T19:13:15Z,fact,9.382958
2026-03-20T19:13:15Z,toolnum,6
2026-03-20T19:13:15Z,program,CDSDRYRUN
2026-03-20T19:13:17Z,xpostn,-54.43905
2026-03-20T19:13:17Z,ypostn,-64.599
2026-03-20T19:13:17Z,zpostn,-0.5
2026-03-20T19:13:17Z,xlod,12
2026-03-20T19:13:17Z,ylod,3
2026-03-20T19:13:17Z,zlod,47
2026-03-20T19:13:17Z,fact,9.382958
2026-03-20T19:13:17Z,toolnum,6
2026-03-20T19:13:17Z,program,CDSDRYRUN
2026-03-20T19:13:18Z,xpostn,-65.1197
2026-03-20T19:13:18Z,ypostn,-64.599
2026-03-20T19:13:18Z,zpostn,-0.5
2026-03-20T19:13:18Z,xlod,12
2026-03-20T19:13:18Z,ylod,3
2026-03-20T19:13:18Z,zlod,47
2026-03-20T19:13:18Z,fact,9.382958
2026-03-20T19:13:18Z,toolnum,6
2026-03-20T19:13:18Z,program,CDSDRYRUN
2026-03-20T19:13:19Z,xpostn,-75.5334
2026-03-20T19:13:19Z,ypostn,-64.599
2026-03-20T19:13:19Z,zpostn,-0.5
2026-03-20T19:13:19Z,xlod,12
2026-03-20T19:13:19Z,ylod,3
2026-03-20T19:13:19Z,zlod,47
2026-03-20T19:13:19Z,fact,9.382958
2026-03-20T19:13:19Z,toolnum,6
2026-03-20T19:13:19Z,program,CDSDRYRUN
2026-03-20T19:13:20Z,xpostn,-84.8662
2026-03-20T19:13:20Z,ypostn,-64.41725
